date,quarter,year,apple,microsoft,ibm
2008-07-30,2008-3,2008,22.84,26.23,128.860001
2008-07-31,2008-3,2008,22.707144,25.719999,127.980003
2008-08-01,2008-3,2008,22.379999,25.440001,126.639999
2008-08-04,2008-3,2008,21.889999,25.280001,127.559998
2008-08-05,2008-3,2008,22.948572,26.209999,128.869995
2008-08-06,2008-3,2008,23.455715,27.02,129.160004
2008-08-07,2008-3,2008,23.367144,27.389999,129.050003
2008-08-08,2008-3,2008,24.221428,28.129999,128.809998
2008-08-11,2008-3,2008,24.794285,27.9,126.599998
2008-08-12,2008-3,2008,25.247143,28.120001,125.220001
2008-08-13,2008-3,2008,25.614286,27.91,125.800003
2008-08-14,2008-3,2008,25.617144,27.91,126.940002
2008-08-15,2008-3,2008,25.105715,27.809999,126.360001
2008-08-18,2008-3,2008,25.055714,27.690001,124.589996
2008-08-19,2008-3,2008,24.790001,27.32,122.559998
2008-08-20,2008-3,2008,25.120001,27.290001,122.510002
2008-08-21,2008-3,2008,24.898571,27.18,122.989998
2008-08-22,2008-3,2008,25.255714,27.84,124.93
2008-08-25,2008-3,2008,24.65,27.66,122.860001
2008-08-26,2008-3,2008,24.805714,27.27,122.5
2008-08-27,2008-3,2008,24.952858,27.559999,123.379997
2008-08-28,2008-3,2008,24.82,27.940001,124.580002
2008-08-29,2008-3,2008,24.218571,27.290001,121.730003
2008-09-02,2008-3,2008,23.741428,27.1,118.410004
2008-09-03,2008-3,2008,23.851429,26.9,118.339996
2008-09-04,2008-3,2008,23.031429,26.35,115
2008-09-05,2008-3,2008,22.882856,25.65,114.330002
2008-09-08,2008-3,2008,22.559999,26.120001,117.290001
2008-09-09,2008-3,2008,21.668571,26.1,115.040001
2008-09-10,2008-3,2008,21.658571,26.440001,118.040001
2008-09-11,2008-3,2008,21.807142,27.34,119.199997
2008-09-12,2008-3,2008,21.277143,27.620001,118.970001
2008-09-15,2008-3,2008,20.051428,26.82,115.190002
2008-09-16,2008-3,2008,19.982857,25.99,116.050003
2008-09-17,2008-3,2008,18.261429,24.57,111.470001
2008-09-18,2008-3,2008,19.155714,25.26,115.120003
2008-09-19,2008-3,2008,20.129999,25.16,118.849998
2008-09-22,2008-3,2008,18.721428,25.4,116.209999
2008-09-23,2008-3,2008,18.120001,25.440001,115.360001
2008-09-24,2008-3,2008,18.387142,25.719999,116.459999
2008-09-25,2008-3,2008,18.847143,26.610001,120.110001
2008-09-26,2008-3,2008,18.32,27.4,119.419998
2008-09-29,2008-3,2008,15.037143,25.01,114.459999
2008-09-30,2008-3,2008,16.237143,26.690001,116.959999
2008-10-01,2008-4,2008,15.588572,26.48,110.129997
2008-10-02,2008-4,2008,14.3,26.25,104.739998
2008-10-03,2008-4,2008,13.867143,26.32,103.440002
2008-10-06,2008-4,2008,14.02,24.91,100.620003
2008-10-07,2008-4,2008,12.737143,23.23,95.650002
2008-10-08,2008-4,2008,12.827143,23.01,90.550003
2008-10-09,2008-4,2008,12.677143,22.299999,89
2008-10-10,2008-4,2008,13.828571,21.5,87.75
2008-10-13,2008-4,2008,15.751429,25.5,92.209999
2008-10-14,2008-4,2008,14.868571,24.1,93.599998
2008-10-15,2008-4,2008,13.992857,22.66,88.290001
2008-10-16,2008-4,2008,14.555715,24.190001,91.519997
2008-10-17,2008-4,2008,13.914286,23.93,90.779999
2008-10-20,2008-4,2008,14.062857,24.719999,92.510002
2008-10-21,2008-4,2008,13.07,23.360001,88.860001
2008-10-22,2008-4,2008,13.838572,21.530001,83.599998
2008-10-23,2008-4,2008,14.032857,22.32,84.349998
2008-10-24,2008-4,2008,13.768572,21.959999,82.07
2008-10-27,2008-4,2008,13.155714,21.18,79.660004
2008-10-28,2008-4,2008,14.272857,23.1,87.279999
2008-10-29,2008-4,2008,14.935715,23,88.199997
2008-10-30,2008-4,2008,15.862857,22.629999,90.690002
2008-10-31,2008-4,2008,15.37,22.33,92.970001
2008-11-03,2008-4,2008,15.28,22.620001,92.68
2008-11-04,2008-4,2008,15.855714,23.530001,93.400002
2008-11-05,2008-4,2008,14.757143,22.08,89.940002
2008-11-06,2008-4,2008,14.157143,20.879999,85.150002
2008-11-07,2008-4,2008,14.034286,21.5,86.269997
2008-11-10,2008-4,2008,13.697143,21.299999,83.870003
2008-11-11,2008-4,2008,13.538571,21.200001,82.739998
2008-11-12,2008-4,2008,12.874286,20.299999,79.739998
2008-11-13,2008-4,2008,13.777143,21.25,84.209999
2008-11-14,2008-4,2008,12.891429,20.059999,80.330002
2008-11-17,2008-4,2008,12.591429,19.32,77.480003
2008-11-18,2008-4,2008,12.844286,19.620001,80.080002
